ADEP,ADES,Date,Arrivals,P15,P85,(P85-P15)/2
SBSP,SBGL,2019-09,600,54.1925925925926,67.55925925925926,"6,7"
SBSP,SBBR,2019-01,598,95.5,105.93478260869563,"5,2"
SBSP,SBBR,2019-09,598,94.53750000000001,107.08958333333335,"6,3"
SBSP,SBBR,2020-01,598,99.2,109.55909090909091,"5,2"
SBBR,SBSP,2019-01,597,99.03695652173913,111.02391304347825,"6,0"
SBBR,SBSP,2019-03,597,96.44583333333333,109.35000000000001,"6,5"
SBBR,SBSP,2019-05,592,94.52826086956522,106.56521739130434,"6,0"
SBBR,SBSP,2019-09,592,96.06874999999998,107.97291666666666,"6,0"
SBSP,SBBR,2019-05,590,95.0086956521739,107.37826086956521,"6,2"
SBGR,SBRF,2019-01,589,178.88095238095238,192.24761904761903,"6,7"
SBSV,SBGR,2019-12,589,141.77499999999998,158.9775,"8,6"
SBBR,SBSP,2019-11,588,94.74782608695651,110.6413043478261,"7,9"
SBPA,SBGR,2019-04,588,97.68125000000002,109.10000000000001,"5,7"
SBSP,SBBR,2019-12,586,98.65681818181817,112.00681818181816,"6,7"
SBBR,SBSP,2019-12,585,95.45454545454545,109.06363636363635,"6,8"
SBGR,SBPA,2019-09,583,97.40227272727272,109.51590909090913,"6,1"
SBGR,SBPA,2020-02,582,97.54999999999998,109.74347826086957,"6,1"
SBSV,SBGR,2019-08,579,141.6925,155.8375,"7,1"
SBCF,SBSP,2019-05,578,72.69347826086955,83.90434782608695,"5,6"
SBGR,SBSV,2019-08,577,130.905,142.1125,"5,6"
SBSP,SBBR,2019-07,577,94.57727272727271,106.70227272727271,"6,1"
SBRJ,SBSP,2021-07,576,57.10454545454545,68.19545454545454,"5,5"
SBPA,SBGR,2019-11,575,94.2772727272727,106.65681818181817,"6,2"
SBPA,SBGR,2020-02,574,93.20434782608694,106.81739130434785,"6,8"
SBGR,SBSV,2020-02,570,129.37857142857143,144.3904761904762,"7,5"
SBBR,SBSP,2019-07,569,93.17954545454545,104.2340909090909,"5,5"
SBGR,SBSV,2019-01,569,134.8375,146.08249999999998,"5,6"
SBSP,SBBR,2019-08,567,97.05227272727274,106.55,"4,7"
SBBR,SBSP,2019-08,566,94.32727272727274,104.57499999999999,"5,1"
SBSV,SBGR,2019-01,566,143.815,158.0125,"7,1"
SBSV,SBGR,2020-02,566,141.11190476190475,155.59523809523813,"7,2"
SBSP,SBRJ,2021-01,562,51.352500000000006,59.42749999999999,"4,0"
SBRJ,SBSP,2021-01,560,53.157500000000006,62.225,"4,5"
SBCF,SBSP,2019-07,559,73.61590909090908,83.15454545454544,"4,8"
SBGL,SBSP,2019-09,559,63.10799999999999,76.946,"6,9"
SBPA,SBSP,2020-01,558,85.6625,96.1125,"5,2"
SBSP,SBPA,2019-12,558,90.8875,103.93499999999999,"6,5"
SBSP,SBPA,2020-01,558,92.3075,101.7225,"4,7"
SBSP,SBPA,2019-07,556,92.11904761904762,104.6238095238095,"6,3"
SBGR,SBPA,2019-04,554,98.15652173913045,107.51304347826085,"4,7"
SBPA,SBSP,2019-12,553,86.94250000000001,99.525,"6,3"
SBRJ,SBBR,2020-01,553,99.47857142857144,108.40238095238094,"4,5"
SBGR,SBSV,2019-07,552,129.74473684210525,141.1315789473684,"5,7"
SBPA,SBSP,2019-07,551,84.8047619047619,96.5142857142857,"5,9"
SBSP,SBCF,2019-08,549,68.56521739130434,78.05869565217391,"4,7"
SBSV,SBGR,2019-09,549,143.6175,156.46,"6,4"
SBGR,SBSV,2019-09,548,127.8475,141.525,"6,8"
SBBR,SBRJ,2020-01,547,99.89999999999998,109.12857142857142,"4,6"
SBSP,SBRJ,2021-07,547,50.44523809523809,59.7547619047619,"4,7"
SBSP,SBCF,2019-07,546,66.15681818181817,76.81818181818183,"5,3"
SBSV,SBGR,2019-07,546,143.7657894736842,156.1052631578947,"6,2"
SBSP,SBRJ,2020-12,544,51.021052631578954,59.87894736842105,"4,4"
SBSP,SBCF,2019-05,543,67.19090909090909,77.92954545454545,"5,4"
SBRF,SBGR,2019-01,542,188.3475,206.09499999999997,"8,9"
SBSP,SBCF,2020-02,542,67.03636363636362,79.10909090909091,"6,0"
