Airport,Date,Phase,N_Valid,SUM_TXT,SUM_REF,AVG_ADD_TIME
SBCF,2019-02,Dep,3765,"57043,4","39697,8","4,88"
SBCF,2019-03,Arr,3997,"16363,3","9629,1","1,81"
SBCF,2019-03,Dep,3961,"56708,0","41572,7","4,12"
SBCF,2019-04,Arr,3875,"15215,4","9390,1","1,63"
SBCF,2019-04,Dep,3851,"56861,2","40479,4","4,46"
SBCF,2019-05,Arr,4002,"14955,6","9636,6","1,44"
SBCF,2019-05,Dep,3975,"58255,3","41868,9","4,30"
SBCF,2019-06,Arr,3961,"14791,2","9479,0","1,46"
SBCF,2019-06,Dep,3941,"58138,6","41454,8","4,40"
SBCF,2019-07,Arr,4512,"16883,6","10870,3","1,46"
SBCF,2019-07,Dep,4470,"67397,3","47046,2","4,72"
SBCF,2019-08,Arr,4227,"20154,2","10093,5","2,49"
SBCF,2019-08,Dep,4213,"61379,1","44092,7","4,54"
SBCF,2019-09,Arr,4076,"15844,4","9708,8","1,60"
SBCF,2019-09,Dep,4068,"55266,6","42565,7","3,50"
SBCF,2019-10,Arr,4236,"18104,7","10106,1","2,03"
SBCF,2019-10,Dep,4178,"57259,2","43944,3","3,72"
SBCF,2019-11,Arr,3977,"14512,2","9676,5","1,35"
SBCF,2019-11,Dep,3922,"52221,5","41083,5","3,22"
SBCF,2019-12,Arr,4103,"17450,7","10093,3","1,92"
SBCF,2019-12,Dep,4038,"54975,5","42138,7","3,67"
SBCF,2020-01,Arr,4273,"22220,4","10623,2","2,86"
SBCF,2020-01,Dep,4207,"59852,2","44066,3","4,34"
SBCF,2020-02,Arr,3765,"13984,7","9274,5","1,35"
SBCF,2020-02,Dep,3699,"49004,3","38618,2","3,16"
SBCF,2020-03,Arr,2816,"10381,9","6809,0","1,37"
SBCF,2020-03,Dep,2751,"34662,3","28763,9","2,64"
SBCF,2020-04,Arr,248,"876,7","545,9","1,53"
SBCF,2020-04,Dep,257,"2861,3","2790,5","1,40"
SBCF,2020-05,Arr,290,"1024,1","621,3","1,49"
SBCF,2020-05,Dep,297,"3423,2","3206,5","1,73"
SBCF,2020-06,Arr,334,"981,8","705,2","0,93"
SBCF,2020-06,Dep,335,"3501,7","3684,7","0,69"
SBCF,2020-07,Arr,472,"1493,1","1041,8","1,01"
SBCF,2020-07,Dep,490,"5211,5","5407,1","0,76"
SBCF,2020-08,Arr,746,"2306,1","1618,0","1,02"
SBCF,2020-08,Dep,749,"8300,0","8381,1","0,87"
SBCF,2020-09,Arr,1148,"3679,0","2527,1","1,09"
SBCF,2020-09,Dep,1136,"12661,0","12630,6","0,94"
SBCF,2020-10,Arr,1814,"6312,7","4218,2","1,22"
SBCF,2020-10,Dep,1821,"21357,7","19751,7","1,47"
SBCF,2020-11,Arr,2249,"8030,6","5301,4","1,28"
SBCF,2020-11,Dep,2217,"27306,2","24017,1","2,02"
SBCF,2020-12,Arr,2743,"9697,6","6378,8","1,28"
SBCF,2020-12,Dep,2702,"33431,5","29356,4","2,03"
SBCF,2021-01,Arr,3019,"11217,9","6862,6","1,49"
SBCF,2021-01,Dep,3005,"37025,6","32696,7","1,96"
SBCF,2021-02,Arr,2148,"8093,1","5030,4","1,48"
SBCF,2021-02,Dep,2128,"25685,5","23015,7","1,79"
SBCF,2021-03,Arr,2161,"7659,4","4996,5","1,29"
SBCF,2021-03,Dep,2155,"25146,4","23407,9","1,45"
SBCF,2021-04,Arr,1681,"5321,4","3687,0","1,05"
SBCF,2021-04,Dep,1675,"19214,4","18412,7","1,20"
SBCF,2021-05,Arr,1919,"6264,6","4389,5","1,05"
SBCF,2021-05,Dep,1926,"22534,7","20952,9","1,43"
SBCF,2021-06,Arr,2113,"6975,8","4759,1","1,11"
SBCF,2021-06,Dep,2133,"25185,1","23272,6","1,50"
SBCF,2021-07,Arr,2761,"9500,5","6299,7","1,22"
SBCF,2021-07,Dep,2759,"33699,8","29960,1","1,89"
SBCF,2021-08,Arr,2760,"9049,2","6186,6","1,10"
SBCF,2021-08,Dep,2752,"33095,8","29873,6","1,72"
SBCF,2021-09,Arr,2999,"10312,7","6925,6","1,19"
SBCF,2021-09,Dep,2986,"36930,3","32274,9","2,03"
SBCF,2021-10,Arr,3066,"14161,8","7114,4","2,32"
SBCF,2021-10,Dep,3047,"37220,5","32992,8","2,02"
SBCF,2021-11,Arr,3098,"12828,8","7825,0","1,68"
SBCF,2021-11,Dep,3076,"38113,4","32166,9","2,44"
SBCF,2021-12,Arr,3587,"14297,9","9162,7","1,53"
SBCF,2021-12,Dep,3584,"47541,3","36932,8","3,25"
SBCF,2022-01,Arr,3385,"11442,3","8667,6","1,13"
SBCF,2022-01,Dep,3334,"46681,1","34334,6","3,81"
SBCF,2022-02,Arr,2799,"11120,5","7121,9","1,49"
SBCF,2022-02,Dep,2762,"35102,2","28519,4","2,70"
SBCF,2022-03,Arr,3210,"12017,7","8140,1","1,28"
SBCF,2022-03,Dep,3193,"39113,2","32937,9","2,36"
SBCF,2022-04,Arr,3426,"12858,2","8641,5","1,29"
SBCF,2022-04,Dep,3394,"43159,9","35040,9","2,79"
SBGL,2019-01,Arr,4440,"32639,9","17413,1","3,64"
SBGL,2019-01,Dep,4433,"74100,4","54652,0","4,88"
SBGL,2019-02,Arr,3491,"27807,3","14057,0","4,16"
SBGL,2019-02,Dep,3483,"59594,7","43146,7","5,25"
SBGL,2019-03,Arr,3678,"32062,6","15126,0","4,79"
SBGL,2019-03,Dep,3601,"63618,5","44995,8","5,62"
SBGL,2019-04,Arr,2999,"20867,6","11649,3","3,27"
SBGL,2019-04,Dep,2976,"51136,0","37487,5","5,04"
SBGL,2019-05,Arr,3024,"19169,8","11505,4","2,73"
SBGL,2019-05,Dep,2982,"54839,1","38906,4","5,75"
SBGL,2019-06,Arr,2905,"18930,4","11216,6","2,85"
SBGL,2019-06,Dep,2861,"47326,3","35280,4","4,57"
SBGL,2019-07,Arr,3779,"25551,9","15392,2","2,91"
SBGL,2019-07,Dep,3720,"61490,1","46597,2","4,33"
