gid,airspace_p,effectived,typ,ident,icaocode,nam,areacode,codedistve,uplimituni,codedistv1,lowerlimit,uomdistver,codewrkhr,upperlimit,lowerlimi1,entryrpt,txtlocalty,txtrmk_loc,relatedfir,classrmklo,emenda,emenda_fut,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,LATITUDE,LONGITUDE
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"0","0","0","0",0.00000000000000,179.99248486754399,-19.8819444400,-9.9994444400
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"1","0","0","1",1.30615420097508,180.00223361207338,-21.1880986400,-9.9994949100
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"2","0","0","2",2.61210676198502,180.00227477058448,-22.4940512000,-9.9995462700
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"3","0","0","3",3.91784786303363,180.00231968925402,-23.7997923000,-9.9995986000
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"4","0","0","4",5.22336815412533,180.00236858955179,-25.1053125900,-9.9996519900
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"5","0","0","5",6.52865872526478,180.00242125419558,-26.4106031600,-9.9997065300
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"6","0","0","6",7.83371114645641,180.00247834401802,-27.7156555800,-9.9997623000
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"7","0","0","7",9.13851750770667,180.00254052018633,-29.0204619400,-9.9998194200
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"8","0","0","8",10.44307040902192,180.00260756607440,-30.3250148400,-9.9998780000
"824",1518.000000000000000,2022-12-29Z,SECTOR,SBAO_S3,SB,SECTOR 3C,SAM,STD,FT,SFC,FL,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 3C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"9","0","0","9",11.74736298040889,180.00267992392526,-31.6293074100,-9.9999381500
