gid,airspace_p,effectived,typ,ident,icaocode,nam,areacode,codedistve,uplimituni,codedistv1,lowerlimit,uomdistver,codewrkhr,upperlimit,lowerlimi1,entryrpt,txtlocalty,txtrmk_loc,relatedfir,classrmklo,emenda,emenda_fut,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,LATITUDE,LONGITUDE
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"10","0","0","10",2.83961126993042,199.63850798249740,-1.7569444400,-41.7002222200
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"11","0","0","11",2.88415678724849,200.40408152414261,-1.7986951700,-41.7157521800
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"12","0","0","12",2.92870241151154,200.40501298016775,-1.8404457500,-41.7312828500
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"13","0","0","13",2.97324813684528,200.40595872919931,-1.8821961700,-41.7468142400
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"14","0","0","14",3.01779396674845,200.40693082620595,-1.9239464300,-41.7623463600
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"15","0","0","15",3.06233990232177,200.40793305568636,-1.9656965200,-41.7778792400
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"16","0","0","16",3.10688595992511,200.40894733494491,-2.0074464500,-41.7934129000
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"17","0","0","17",3.15143213020013,200.40998193339126,-2.0491962100,-41.8089473400
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"18","0","0","18",3.19597842362316,200.41103685110195,-2.0909458000,-41.8244825900
"827",1513.000000000000000,2022-12-29Z,SECTOR,SBAO_S1,SB,SECTOR 1C,SAM,STD,FL,SFC,FT,FT,H24,999.000000000000000,0.000000000000000,NO,"SETOR 1C; FIR ATL�NTICO","(1) SETOR 1A
(2) SETOR 1B
(3) SETOR 1C
(4) SETOR 2A
(5) SETOR 2B
(6) SETOR 2C
(7) SETOR 3B
(8) SETOR 3C

D-VOLMET",SBAO,"CLASSE DE  ESPA�O A�REO: \nA; Acima do FL245 (exclusive); \nA; Entre os FL145 (exclusive) e FL245 (inclusive) dentro das CTA e aerovias; \nD; Abaixo do FL145 (inclusive) dentro das CTA e aerovias; \nG; Abaixo do FL245 (inclusive) fora das CTA, aerovias",2022-12-29Z,2023-01-26Z,"19","0","0","19",3.24052483083712,200.41211811477572,-2.1326952100,-41.8400186500
