APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBRF,2019-10,DEP,3085,0,0,0,0,0,1,0,0,5,12,105,413,768,694,309,222,123,98,76,53,47,23,18,13,17,88,0.167909238,0.248946515,0.224959481,0.172123177,0.473905997,0.813938412
SBRF,2020-10,DEP,1907,0,0,0,0,0,1,1,2,3,14,161,487,581,315,140,63,48,16,18,9,10,3,3,6,3,23,0.339800734,0.304667016,0.165180912,0.106449921,0.469847929,0.916098584
SBRF,2021-10,DEP,2838,0,0,0,2,0,0,1,3,1,15,148,566,846,610,229,130,74,49,34,25,18,13,12,8,8,46,0.251585624,0.298097252,0.214940099,0.126497533,0.51303735,0.891120507
SBRF,2019-11,DEP,2873,3,2,2,2,1,1,1,0,3,19,134,463,684,612,259,190,118,76,52,44,38,37,24,22,7,79,0.207796728,0.238078663,0.213017751,0.156282631,0.451096415,0.815175774
SBRF,2020-11,DEP,2130,2,0,0,1,0,1,0,6,7,18,88,345,588,464,198,138,75,59,33,27,18,8,7,7,4,36,0.203286385,0.276056338,0.217840376,0.157746479,0.493896714,0.854929577
SBRF,2021-11,DEP,2785,0,0,1,0,0,1,1,1,6,20,119,504,810,561,232,166,84,55,42,34,25,15,22,14,8,64,0.223698384,0.290843806,0.201436266,0.142908438,0.492280072,0.858886894
SBRF,2019-12,DEP,3168,4,1,0,0,0,2,1,0,4,19,132,544,769,629,291,173,148,111,78,35,39,35,26,18,15,94,0.213383838,0.242739899,0.19854798,0.146464646,0.441287879,0.801136364
SBRF,2020-12,DEP,2682,0,0,1,0,0,1,2,2,9,41,195,464,660,562,254,163,94,68,45,26,22,12,10,10,7,34,0.245712155,0.246085011,0.209545116,0.155480984,0.455630127,0.856823266
SBRF,2021-12,DEP,3402,0,0,0,2,0,1,1,3,3,25,135,607,949,710,282,160,130,89,65,35,28,37,17,13,11,99,0.218106996,0.278953557,0.208700764,0.129923574,0.487654321,0.835684891
SBRJ,2019-01,DEP,3693,0,0,0,0,0,0,0,0,0,1,57,524,958,846,336,268,168,104,74,76,58,38,35,16,28,106,0.157324668,0.259409694,0.229082047,0.163552667,0.488491741,0.809369077
SBRJ,2020-01,DEP,4524,0,0,0,0,0,0,0,0,0,2,86,788,1292,916,406,271,228,114,92,66,51,40,40,24,15,93,0.193191866,0.285587975,0.202475685,0.149646331,0.48806366,0.830901857
SBRJ,2021-01,DEP,2841,0,0,0,0,0,0,0,1,0,5,85,646,857,657,210,124,78,63,23,17,13,10,14,5,4,29,0.257303766,0.301654347,0.2312566,0.117564238,0.532910947,0.907778951
