APT_ICAO,DATE,PHASE,N_VALID,(-1e+09.-60],(-60.-55],(-55.-50],(-50.-45],(-45.-40],(-40.-35],(-35.-30],(-30.-25],(-25.-20],(-20.-15],(-15.-10],(-10.-5],(-5.0],(0.5],(5.10],(10.15],(15.20],(20.25],(25.30],(30.35],(35.40],(40.45],(45.50],(50.55],(55.60],(60.1e+09],EARLY_M15M05,EARLY_M05M00,LATE_P00P05,LATE_P05P15,WITHIN_M05P05,WITHIN_M15P15
SBRJ,2021-04,DEP,1314,0,0,0,0,0,0,0,0,0,0,72,380,475,247,57,34,15,10,4,1,2,2,3,2,1,9,0.343987823,0.361491629,0.187975647,0.069254186,0.549467275,0.962709285
SBRJ,2022-04,DEP,3669,0,0,0,0,0,1,0,0,1,2,74,766,1128,778,326,187,102,87,60,34,26,19,11,8,14,45,0.228945217,0.30744072,0.212046879,0.139820114,0.519487599,0.88825293
SBRJ,2019-05,DEP,3622,0,0,0,0,0,0,0,0,0,1,66,676,1057,804,334,201,116,78,46,44,38,30,28,19,12,72,0.204859194,0.291827719,0.221976808,0.147708448,0.513804528,0.86637217
SBRJ,2020-05,DEP,244,0,0,0,0,0,0,0,0,0,0,25,81,76,38,11,2,2,0,3,0,2,0,1,0,1,2,0.43442623,0.31147541,0.155737705,0.053278689,0.467213115,0.954918033
SBRJ,2021-05,DEP,1749,0,0,0,0,0,0,0,0,0,4,71,540,635,305,72,33,21,14,7,9,5,5,8,5,3,12,0.349342481,0.363064608,0.174385363,0.060034305,0.537449971,0.946826758
SBRJ,2022-05,DEP,4197,0,0,0,0,0,0,0,0,0,1,107,970,1380,862,323,164,114,59,40,33,25,24,13,11,14,57,0.256611866,0.32880629,0.205384799,0.116035263,0.534191089,0.906838218
SBRJ,2019-06,DEP,3270,0,0,0,0,0,0,0,0,0,1,77,674,1056,681,256,137,115,72,53,33,21,21,20,11,7,35,0.229663609,0.32293578,0.208256881,0.120183486,0.531192661,0.881039755
SBRJ,2020-06,DEP,462,0,0,0,0,0,0,0,0,0,2,33,173,142,71,13,6,10,2,2,2,0,0,0,1,1,4,0.445887446,0.307359307,0.153679654,0.041125541,0.461038961,0.948051948
SBRJ,2021-06,DEP,2033,0,0,0,0,0,0,0,0,0,3,94,571,701,416,100,47,29,19,10,5,7,5,3,3,6,14,0.327102804,0.344810625,0.204623709,0.072306936,0.549434333,0.948844073
SBRJ,2019-07,DEP,3598,0,0,0,0,0,0,0,0,0,1,77,639,1055,794,330,217,141,96,65,47,32,17,18,12,12,45,0.198999444,0.293218455,0.220678155,0.152028905,0.513896609,0.864924958
SBRJ,2020-07,DEP,776,0,0,0,0,0,0,0,0,0,6,68,284,229,108,28,15,9,2,5,5,2,2,4,2,0,7,0.453608247,0.295103093,0.139175258,0.055412371,0.434278351,0.943298969
SBRJ,2021-07,DEP,2593,0,0,0,0,0,0,0,0,0,3,123,728,821,525,167,85,33,25,19,12,3,6,6,3,5,29,0.328191284,0.316621674,0.202468184,0.097184728,0.519089857,0.94446587
SBRJ,2019-08,DEP,2838,0,0,0,0,0,0,0,0,0,0,57,653,882,573,234,123,72,65,46,34,29,16,11,12,5,26,0.25017618,0.310782241,0.201902748,0.125792812,0.512684989,0.888653982
SBRJ,2020-08,DEP,1057,0,0,0,0,0,0,0,0,1,3,71,323,340,191,57,24,13,4,3,3,7,1,2,3,0,11,0.372753075,0.32166509,0.180700095,0.076631977,0.502365184,0.951750237
SBRJ,2021-08,DEP,2667,0,0,0,0,0,0,0,0,0,3,160,869,887,456,119,46,36,21,18,7,6,7,5,5,0,22,0.385826772,0.332583427,0.170978628,0.061867267,0.503562055,0.951256093
SBRJ,2019-09,DEP,1546,1,0,0,0,0,0,0,0,0,0,36,348,438,304,116,69,43,44,26,19,8,12,13,8,5,56,0.248382924,0.283311772,0.196636481,0.119663648,0.479948254,0.847994825
SBRJ,2020-09,DEP,1527,0,0,0,0,0,0,0,0,0,1,66,427,514,305,87,40,27,13,9,9,5,6,3,0,0,15,0.322855272,0.336607728,0.199738048,0.083169614,0.536345776,0.942370661
SBRJ,2021-09,DEP,2821,0,0,0,0,0,0,0,0,0,0,82,725,1006,562,179,94,48,26,25,13,14,6,4,8,2,27,0.28606877,0.356611131,0.199220135,0.096774194,0.555831266,0.938674229
SBRJ,2019-10,DEP,4121,0,0,0,0,0,0,0,0,0,0,83,772,1232,841,353,209,164,111,68,67,50,31,31,15,16,78,0.207473914,0.298956564,0.20407668,0.136374666,0.503033244,0.846881825
SBRJ,2020-10,DEP,2053,0,0,0,0,0,0,0,0,0,4,89,544,657,395,136,73,42,23,18,12,8,4,4,3,3,38,0.308329274,0.320019484,0.192401364,0.101802241,0.512420848,0.922552362
SBRJ,2021-10,DEP,2855,1,0,0,0,0,0,0,0,0,2,54,560,913,603,226,148,90,43,38,21,19,21,13,8,9,86,0.215061296,0.319789842,0.211208406,0.130998249,0.530998249,0.877057793
SBRJ,2019-11,DEP,4037,0,0,0,0,0,0,0,0,0,2,71,697,1175,788,367,206,140,112,87,71,51,34,29,26,24,157,0.190240277,0.291057716,0.195194451,0.141937082,0.486252167,0.818429527
SBRJ,2020-11,DEP,2330,0,0,0,0,0,0,0,0,0,3,51,447,698,518,181,126,75,48,34,27,16,20,12,10,13,51,0.213733906,0.299570815,0.222317597,0.131759657,0.521888412,0.867381974
SBRJ,2021-11,DEP,3011,0,0,0,0,0,0,0,0,0,0,23,401,871,691,286,182,135,87,84,52,32,20,23,24,11,89,0.140817004,0.289272667,0.229491863,0.15543009,0.51876453,0.815011624
SBRJ,2019-12,DEP,4341,0,0,0,0,0,0,0,0,1,1,86,673,1051,886,360,257,199,169,119,108,64,47,41,49,35,195,0.174844506,0.242110113,0.204100438,0.142133149,0.446210551,0.763188205
SBRJ,2020-12,DEP,2832,0,0,0,0,0,0,0,0,0,2,71,593,804,642,233,140,112,63,47,30,24,19,9,8,3,32,0.234463277,0.283898305,0.226694915,0.13170904,0.51059322,0.876765537
SBRJ,2021-12,DEP,3424,0,0,0,0,0,0,0,0,0,2,53,508,861,719,336,262,160,102,87,77,43,36,23,20,19,116,0.163843458,0.25146028,0.209988318,0.174649533,0.461448598,0.799941589
SBSP,2019-01,DEP,7666,0,0,0,0,0,0,0,0,0,1,118,1174,2101,1543,704,472,334,269,204,139,144,88,74,51,52,198,0.168536394,0.27406731,0.201278372,0.153404644,0.475345682,0.797286721
SBSP,2020-01,DEP,7854,0,0,0,0,0,0,0,0,0,5,419,1847,2229,1416,615,384,281,162,104,86,65,50,40,20,21,110,0.288515406,0.283804431,0.180290298,0.127196333,0.464094729,0.879806468
SBSP,2021-01,DEP,3462,1,0,0,1,0,0,0,0,1,10,370,1154,922,497,163,108,72,51,27,16,11,7,10,6,4,31,0.440207972,0.266320046,0.143558637,0.078278452,0.409878683,0.928365107
SBSP,2022-01,DEP,5331,0,0,0,0,0,0,1,0,1,3,190,1195,1550,1015,403,258,149,114,97,74,44,33,44,21,25,114,0.259801163,0.290752204,0.190395798,0.123991746,0.481148002,0.864940912
SBSP,2019-02,DEP,6818,0,0,0,0,0,0,0,0,0,2,70,866,1712,1424,735,447,403,247,202,133,138,89,67,59,49,175,0.137283661,0.251100029,0.208858903,0.173364623,0.459958932,0.770607216
SBSP,2020-02,DEP,6995,1,0,0,0,0,0,0,0,0,3,261,1539,1852,1285,517,334,251,197,137,124,104,65,57,41,35,192,0.257326662,0.264760543,0.183702645,0.121658327,0.448463188,0.827448177
SBSP,2021-02,DEP,2564,1,0,0,0,0,0,0,0,0,5,328,1002,723,299,75,42,19,20,11,4,4,5,3,2,2,19,0.518720749,0.281981279,0.116614665,0.045631825,0.398595944,0.962948518
SBSP,2022-02,DEP,4079,0,0,0,0,0,0,0,0,0,3,262,1351,1262,636,207,126,76,41,34,14,14,10,8,5,3,27,0.395440059,0.309389556,0.155920569,0.081637656,0.465310125,0.94238784
SBSP,2019-03,DEP,7236,0,0,0,0,0,0,0,0,0,1,107,1253,2099,1478,631,398,278,187,165,125,95,81,56,49,31,202,0.187949143,0.290077391,0.204256495,0.142205638,0.494333886,0.824488668
SBSP,2020-03,DEP,4983,0,0,0,0,0,0,0,0,1,4,314,1605,1555,792,305,156,73,48,36,21,13,9,6,6,5,34,0.385109372,0.312061007,0.158940397,0.092514549,0.471001405,0.948625326
SBSP,2021-03,DEP,2081,0,0,0,0,0,0,0,0,0,11,292,926,535,185,58,26,13,10,5,2,1,4,2,2,1,8,0.585295531,0.257087938,0.088899568,0.040365209,0.345987506,0.971648246
SBSP,2022-03,DEP,4629,0,0,0,0,0,0,1,0,0,3,266,1437,1454,804,227,154,78,53,31,29,18,8,12,11,10,33,0.367898034,0.314106719,0.173687622,0.082307194,0.48779434,0.937999568
SBSP,2019-04,DEP,7106,0,0,0,0,0,0,0,0,0,1,142,1325,1981,1498,579,416,265,197,134,116,76,66,57,36,16,201,0.206445258,0.278778497,0.210807768,0.140022516,0.489586265,0.836054039
SBSP,2020-04,DEP,44,1,1,0,0,0,0,0,0,0,1,11,21,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0.727272727,0.181818182,0.022727273,0,0.204545455,0.931818182
SBSP,2021-04,DEP,1159,0,0,0,0,0,0,0,0,0,8,166,577,297,67,20,6,6,3,2,1,0,1,0,1,0,4,0.641069888,0.256255393,0.057808456,0.022433132,0.314063848,0.977566868
SBSP,2022-04,DEP,5310,0,0,0,0,0,0,0,0,0,3,172,1288,1693,1108,389,227,140,90,50,35,24,21,10,15,2,43,0.274952919,0.318832392,0.2086629,0.116007533,0.527495292,0.918455744
SBSP,2019-05,DEP,7141,0,0,0,0,0,0,0,0,0,0,192,1628,2199,1461,518,367,212,152,102,86,58,32,24,27,15,68,0.254866265,0.307940064,0.204593194,0.123932222,0.512533259,0.891331746
SBSP,2020-05,DEP,25,0,0,0,0,0,0,0,0,0,1,8,11,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0.76,0.04,0.04,0.04,0.08,0.88
SBSP,2021-05,DEP,1743,0,0,0,0,0,0,0,0,0,1,161,739,539,194,35,25,10,5,6,4,1,7,0,3,5,8,0.516351119,0.309236948,0.111302352,0.034423408,0.4205393,0.971313827
SBSP,2022-05,DEP,6398,0,0,0,0,0,0,0,0,0,6,218,1453,2034,1287,502,278,178,119,91,48,32,30,12,12,11,87,0.261175367,0.317911847,0.201156611,0.121913098,0.519068459,0.902156924
SBSP,2019-06,DEP,6512,0,0,0,0,0,0,0,0,0,3,172,1545,1944,1289,541,323,203,148,105,54,38,39,27,12,21,48,0.263667076,0.298525799,0.19794226,0.132678133,0.496468059,0.892813268
SBSP,2020-06,DEP,371,0,0,0,0,0,0,0,0,0,4,95,176,66,16,5,3,1,1,1,0,1,0,0,0,0,2,0.730458221,0.177897574,0.043126685,0.021563342,0.221024259,0.973045822
SBSP,2021-06,DEP,2127,0,0,0,0,0,0,0,0,0,1,191,889,599,243,58,38,31,21,9,11,9,2,6,4,2,13,0.507757405,0.281617301,0.114245416,0.045133992,0.395862717,0.948754114
SBSP,2019-07,DEP,7119,0,0,0,0,0,0,0,0,0,2,206,1431,2027,1382,565,448,280,196,155,98,69,52,46,37,21,104,0.229948026,0.284731002,0.194128389,0.142295266,0.47885939,0.851102683
SBSP,2020-07,DEP,680,0,0,0,0,0,0,0,0,0,7,187,330,103,34,4,1,2,3,1,1,1,0,0,0,0,6,0.760294118,0.151470588,0.05,0.007352941,0.201470588,0.969117647
SBSP,2021-07,DEP,3343,0,0,0,0,0,0,0,0,0,4,299,1234,973,455,140,87,45,25,17,6,5,8,5,2,4,34,0.458570147,0.291055938,0.136105295,0.067903081,0.427161232,0.95363446
SBSP,2019-08,DEP,7049,0,0,0,0,0,0,0,0,0,2,206,1650,2108,1371,539,374,238,162,108,79,53,36,28,20,19,56,0.263299759,0.299049511,0.194495673,0.129521918,0.493545184,0.886366861
SBSP,2020-08,DEP,535,0,0,0,0,0,0,1,1,1,2,72,228,138,46,15,6,5,2,2,4,3,0,2,1,1,5,0.560747664,0.257943925,0.085981308,0.039252336,0.343925234,0.943925234
SBSP,2021-08,DEP,3261,1,1,1,1,0,1,0,0,1,6,364,1196,930,419,122,62,38,18,20,14,12,6,5,4,3,36,0.478380865,0.285188592,0.128488194,0.05642441,0.413676786,0.948482061
SBSP,2019-09,DEP,7265,0,0,0,0,0,0,0,0,0,4,168,1359,2042,1424,611,395,312,230,146,142,101,67,72,41,13,138,0.210185822,0.281073641,0.196008259,0.138472127,0.4770819,0.825739849
SBSP,2020-09,DEP,917,1,0,0,0,0,0,0,0,0,10,188,413,194,50,20,10,5,8,7,1,2,0,3,1,0,4,0.655398037,0.211559433,0.054525627,0.032715376,0.26608506,0.954198473
SBSP,2021-09,DEP,3774,0,0,0,0,0,0,0,0,0,2,265,1197,1257,559,186,97,65,34,27,16,19,8,9,2,4,27,0.387387387,0.333068362,0.148118707,0.074986751,0.481187069,0.943561208
SBSP,2019-10,DEP,7529,0,0,0,0,0,0,0,0,0,4,135,1402,2302,1529,693,428,300,209,145,85,69,45,35,29,20,99,0.204143977,0.305751096,0.203081419,0.148890955,0.508832514,0.861867446
SBSP,2020-10,DEP,1934,0,0,0,0,0,0,0,2,1,17,419,754,422,167,62,23,19,12,5,4,4,7,2,2,1,11,0.606514995,0.21820062,0.086349535,0.043950362,0.304550155,0.955015512
SBSP,2021-10,DEP,4067,0,0,0,0,0,0,0,0,0,2,171,1143,1205,774,281,157,92,59,37,32,23,22,13,11,3,42,0.323088271,0.29628719,0.190312269,0.10769609,0.486599459,0.917383821
SBSP,2019-11,DEP,7369,0,0,0,0,0,0,0,0,0,2,120,1097,1848,1491,677,468,388,271,213,168,126,89,68,51,44,248,0.16515131,0.250780296,0.202334102,0.155380649,0.453114398,0.773646356
SBSP,2020-11,DEP,2463,0,0,0,0,0,0,0,0,0,10,280,898,638,367,103,52,30,13,15,15,6,6,3,4,1,22,0.478278522,0.259033699,0.149005278,0.062931384,0.408038977,0.949248883
SBSP,2021-11,DEP,4378,0,0,0,0,0,0,0,0,0,0,131,892,1209,805,391,256,173,109,87,64,47,51,30,23,18,92,0.233668342,0.276153495,0.183873915,0.147784376,0.46002741,0.841480128
SBSP,2019-12,DEP,7617,0,0,0,0,0,0,0,0,0,6,225,1259,1811,1390,686,491,363,299,208,155,143,95,78,52,59,297,0.19482736,0.237757647,0.182486543,0.154522778,0.420244191,0.769594328
SBSP,2020-12,DEP,2975,0,0,0,0,0,0,0,0,0,9,234,872,811,501,169,112,76,47,38,33,15,15,11,5,8,19,0.371764706,0.272605042,0.168403361,0.094453782,0.441008403,0.907226891
SBSP,2021-12,DEP,5256,0,0,0,0,0,0,0,0,0,1,117,746,1249,990,527,393,295,212,160,107,98,70,51,43,43,154,0.164193303,0.237633181,0.188356164,0.175038052,0.425989346,0.7652207
SBSV,2019-01,DEP,3045,17,2,2,0,0,0,0,0,0,9,77,453,654,567,326,210,189,116,96,59,49,34,35,21,21,108,0.174055829,0.214778325,0.186206897,0.176026273,0.400985222,0.751067323
SBSV,2020-01,DEP,2943,0,0,1,2,0,2,3,8,7,15,156,586,787,550,223,145,125,76,49,39,27,17,18,14,13,80,0.252123683,0.267414203,0.186884132,0.125042474,0.454298335,0.831464492
SBSV,2021-01,DEP,2556,1,2,0,1,1,0,0,1,3,21,229,604,603,476,220,135,84,53,33,23,21,7,7,4,2,25,0.325899844,0.235915493,0.186228482,0.138888889,0.422143975,0.886932707
SBSV,2022-01,DEP,2663,18,0,0,0,0,0,0,0,1,6,104,510,644,533,239,150,107,72,68,39,33,27,20,13,11,68,0.23056703,0.24183252,0.200150207,0.146075854,0.441982726,0.81862561
SBSV,2019-02,DEP,2388,7,3,1,0,0,2,0,0,4,12,80,327,467,443,271,186,151,95,76,50,33,26,24,23,13,94,0.170435511,0.195561139,0.185510888,0.191373534,0.381072027,0.742881072
SBSV,2020-02,DEP,2591,2,0,0,1,1,1,3,0,4,10,158,612,725,433,178,112,85,53,35,32,22,16,19,13,9,67,0.297182555,0.279814743,0.167116943,0.111925897,0.446931687,0.856040139
SBSV,2021-02,DEP,1706,0,0,0,0,0,0,0,1,8,38,245,577,414,211,87,36,29,14,11,8,5,2,4,3,1,12,0.481828839,0.242672919,0.123681125,0.072098476,0.366354045,0.92028136
SBSV,2022-02,DEP,2059,6,0,0,0,2,7,2,2,3,18,163,600,555,316,117,70,42,29,23,14,8,9,7,10,3,53,0.370568237,0.269548324,0.153472559,0.090820787,0.423020884,0.884409908
SBSV,2019-03,DEP,2541,0,0,0,0,0,0,0,3,1,13,92,340,524,474,250,187,133,107,77,51,44,32,28,35,23,127,0.170011806,0.206218024,0.186540732,0.171979536,0.392758756,0.734750098
SBSV,2020-03,DEP,1820,0,0,0,0,0,0,0,3,1,16,150,453,504,305,119,71,42,35,18,18,16,16,4,4,8,37,0.331318681,0.276923077,0.167582418,0.104395604,0.444505495,0.88021978
SBSV,2021-03,DEP,1500,0,0,0,0,0,0,0,0,3,14,211,522,416,184,69,31,18,8,7,4,0,2,2,0,1,8,0.488666667,0.277333333,0.122666667,0.066666667,0.4,0.955333333
SBSV,2022-03,DEP,2353,0,0,0,0,0,1,0,3,9,26,189,756,589,339,148,85,53,41,16,17,12,12,5,7,5,40,0.40161496,0.250318742,0.144071398,0.099022524,0.39439014,0.895027624
SBSV,2019-04,DEP,2020,1,0,0,0,0,0,0,0,3,12,86,362,445,378,188,131,106,65,49,50,25,21,15,13,9,61,0.221782178,0.22029703,0.187128713,0.157920792,0.407425743,0.787128713
SBSV,2020-04,DEP,179,2,0,0,0,0,0,0,1,3,9,26,42,29,29,12,5,6,1,2,2,0,2,0,0,2,6,0.379888268,0.162011173,0.162011173,0.094972067,0.324022346,0.798882682
SBSV,2021-04,DEP,870,2,0,1,0,0,1,0,0,6,10,112,283,224,101,44,27,17,11,0,9,1,1,1,0,0,19,0.454022989,0.257471264,0.116091954,0.081609195,0.373563218,0.909195402
SBSV,2022-04,DEP,2082,0,0,0,0,0,1,0,1,9,27,140,592,559,338,142,64,56,39,24,17,13,9,4,2,4,41,0.351585014,0.268491835,0.1623439,0.098943324,0.430835735,0.881364073
SBSV,2019-05,DEP,1821,0,0,0,0,0,0,0,0,0,11,115,429,400,318,163,101,78,45,36,31,17,13,14,8,4,38,0.298736958,0.219659528,0.174629325,0.144975288,0.394288852,0.838001098
SBSV,2020-05,DEP,235,1,0,0,1,0,0,2,0,10,13,36,72,45,27,9,8,3,0,1,0,0,0,1,0,0,6,0.459574468,0.191489362,0.114893617,0.072340426,0.306382979,0.838297872
SBSV,2021-05,DEP,1127,0,0,1,0,0,0,1,1,3,22,115,376,325,141,54,38,15,5,8,4,3,1,0,2,2,10,0.43566992,0.28837622,0.125110914,0.081632653,0.413487134,0.930789707
SBSV,2022-05,DEP,2049,0,0,0,0,1,1,1,3,6,31,197,645,479,291,132,72,41,36,30,11,10,10,11,3,2,36,0.410932162,0.233772572,0.142020498,0.099560761,0.37579307,0.886285993
SBSV,2019-06,DEP,1841,7,0,0,0,0,0,0,0,2,6,89,338,421,339,188,117,68,58,35,32,22,26,9,7,6,71,0.231939163,0.228680065,0.184139055,0.165670831,0.41281912,0.810429115
SBSV,2020-06,DEP,279,0,0,0,1,0,1,2,0,0,11,35,98,50,35,11,9,8,2,2,1,1,1,0,0,0,11,0.476702509,0.17921147,0.125448029,0.071684588,0.304659498,0.853046595
SBSV,2021-06,DEP,1480,0,0,0,0,0,0,0,2,2,14,134,503,391,214,97,47,24,8,10,8,5,3,3,1,0,14,0.430405405,0.264189189,0.144594595,0.097297297,0.408783784,0.936486486
SBSV,2019-07,DEP,2588,0,0,0,0,0,0,0,0,1,9,135,475,578,515,267,158,134,80,54,40,25,25,13,15,4,60,0.235703246,0.223338485,0.198995363,0.164219474,0.422333849,0.822256569
SBSV,2020-07,DEP,492,0,0,0,0,0,0,0,0,0,14,100,160,86,51,16,8,3,11,6,2,2,1,1,0,1,30,0.528455285,0.174796748,0.103658537,0.048780488,0.278455285,0.855691057
SBSV,2021-07,DEP,2012,0,0,0,0,0,0,0,0,0,19,192,676,586,289,92,43,31,10,16,7,9,5,5,1,5,26,0.431411531,0.291252485,0.143638171,0.067097416,0.434890656,0.933399602
SBSV,2019-08,DEP,2354,1,0,0,0,0,0,0,2,0,11,142,439,547,445,222,147,106,66,43,45,31,19,17,10,5,56,0.246813934,0.232370433,0.189039932,0.15675446,0.421410365,0.82497876
SBSV,2020-08,DEP,641,0,0,0,0,0,0,0,2,3,13,143,222,123,43,12,13,8,7,6,2,1,2,3,3,2,33,0.569422777,0.191887676,0.067082683,0.03900156,0.258970359,0.867394696
SBSV,2021-08,DEP,1813,0,0,0,0,0,0,0,0,1,19,214,621,472,257,92,42,17,17,11,12,6,9,3,1,2,17,0.460562603,0.260341975,0.141753999,0.073910645,0.402095974,0.936569222
SBSV,2019-09,DEP,2291,0,0,0,0,0,0,0,2,3,11,114,459,552,432,179,150,118,69,47,30,22,20,13,13,8,49,0.250109123,0.24094282,0.188563946,0.143605412,0.429506766,0.823221301
SBSV,2020-09,DEP,923,0,0,0,0,0,0,1,2,11,30,145,297,208,116,35,24,17,12,4,2,2,0,2,1,2,12,0.478873239,0.225352113,0.12567714,0.063921993,0.351029252,0.893824485
SBSV,2021-09,DEP,2017,0,0,0,0,0,0,0,0,1,16,166,541,565,338,137,71,54,29,25,16,14,5,7,6,1,25,0.350520575,0.280118989,0.167575607,0.103123451,0.447694596,0.901338622
SBSV,2019-10,DEP,2393,0,0,0,0,0,0,0,0,2,11,99,417,530,455,276,165,126,96,52,28,40,28,17,10,7,34,0.215628918,0.221479315,0.190137902,0.184287505,0.411617217,0.81153364
SBSV,2020-10,DEP,1421,3,1,3,3,0,0,2,6,5,37,248,421,344,183,60,37,18,10,9,1,1,2,1,1,0,25,0.470795215,0.24208304,0.128782548,0.068261787,0.370865588,0.90992259
SBSV,2021-10,DEP,2127,0,0,0,0,0,0,1,0,0,11,147,636,603,338,121,72,55,21,21,14,7,11,11,5,2,51,0.368124118,0.283497884,0.158909262,0.090738129,0.442407146,0.901269394
SBSV,2019-11,DEP,2486,0,0,0,0,0,1,1,0,5,10,113,460,531,467,206,193,126,97,68,37,32,31,17,14,9,68,0.230490748,0.213596138,0.187851971,0.160498793,0.401448109,0.792437651
SBSV,2020-11,DEP,1558,1,0,0,1,0,1,3,2,4,16,140,426,398,222,119,70,42,29,19,16,11,3,6,5,1,23,0.363286264,0.255455712,0.142490372,0.121309371,0.397946085,0.88254172
SBSV,2021-11,DEP,2205,0,0,0,0,0,0,0,1,1,11,93,479,582,424,178,114,78,54,34,24,19,16,12,7,9,69,0.259410431,0.263945578,0.192290249,0.132426304,0.456235828,0.848072562
SBSV,2019-12,DEP,2789,0,1,0,1,1,1,0,3,5,20,121,517,639,492,238,172,114,116,80,57,32,42,27,17,19,74,0.228755826,0.229114378,0.176407314,0.147006095,0.405521692,0.781283614
SBSV,2020-12,DEP,2099,0,0,0,0,3,3,4,7,8,33,248,563,466,331,122,91,66,46,30,19,7,11,7,5,4,25,0.386374464,0.222010481,0.15769414,0.101476894,0.379704621,0.867555979
SBSV,2021-12,DEP,2665,0,0,0,0,0,0,0,1,3,11,122,613,655,471,200,137,96,76,54,40,26,18,23,11,9,99,0.275797373,0.245778612,0.17673546,0.126454034,0.422514071,0.824765478
